ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2011-02-26,23051.28863604,26994.355986119088,35736.06945957118,23051.28863604,23051.28863604,8295.142432021272,8295.142432021272,8295.142432021272,7159.29441047826,7159.29441047826,7159.29441047826,1135.848021543012,1135.848021543012,1135.848021543012,0.0,0.0,0.0,31346.431068061273
2011-02-27,23071.123182905867,26619.568735511275,35256.65651762818,23071.123182905867,23071.123182905867,7835.362096521895,7835.362096521895,7835.362096521895,6753.263146083655,6753.263146083655,6753.263146083655,1082.09895043824,1082.09895043824,1082.09895043824,0.0,0.0,0.0,30906.48527942776
2011-02-28,23090.957729771737,18191.267608010676,27155.31329329811,23090.957729771737,23090.957729771737,-405.30129948793274,-405.30129948793274,-405.30129948793274,-1424.297299551627,-1424.297299551627,-1424.297299551627,1018.9960000636944,1018.9960000636944,1018.9960000636944,0.0,0.0,0.0,22685.656430283805
2011-03-01,23110.792276637607,15580.860518197756,24727.738874748266,23110.792276637607,23110.792276637607,-3011.238753915718,-3011.238753915718,-3011.238753915718,-3959.355655555793,-3959.355655555793,-3959.355655555793,948.1169016400747,948.1169016400747,948.1169016400747,0.0,0.0,0.0,20099.55352272189
2011-03-02,23130.626823503473,15389.539889737116,24252.893682623173,23130.626823503473,23130.626823503473,-3405.918605354443,-3405.918605354443,-3405.918605354443,-4277.103578951695,-4277.103578951695,-4277.103578951695,871.184973597253,871.184973597253,871.184973597253,0.0,0.0,0.0,19724.70821814903
2011-03-03,23150.461370369343,15476.369531011376,24161.360868728385,23150.461370369343,23150.461370369343,-3340.394218192814,-3340.394218192814,-3340.394218192814,-4130.420461290385,-4130.420461290385,-4130.420461290385,790.0262430975712,790.0262430975712,790.0262430975712,0.0,0.0,0.0,19810.06715217653
2011-03-04,23170.29591723521,19062.21575911337,28007.64183747625,23170.29591723521,23170.29591723521,585.1434972650233,585.1434972650233,585.1434972650233,-121.38056120870662,-121.38056120870662,-121.38056120870662,706.5240584737298,706.5240584737298,706.5240584737298,0.0,0.0,0.0,23755.439414500233
2011-03-05,23190.13046410108,26664.95531653011,35338.228177341145,23190.13046410108,23190.13046410108,7781.866845721983,7781.866845721983,7781.866845721983,7159.294410483681,7159.294410483681,7159.294410483681,622.5724352383023,622.5724352383023,622.5724352383023,0.0,0.0,0.0,30971.997309823062
2011-03-06,23209.96501096695,26640.114250620925,34994.63681836468,23209.96501096695,23209.96501096695,7293.292552688293,7293.292552688293,7293.292552688293,6753.263146079593,6753.263146079593,6753.263146079593,540.0294066086998,540.0294066086998,540.0294066086998,0.0,0.0,0.0,30503.257563655243
2011-03-07,23229.799557832815,17881.209261688386,26582.71113440403,23229.799557832815,23229.799557832815,-963.6256579690847,-963.6256579690847,-963.6256579690847,-1424.2972995559091,-1424.2972995559091,-1424.2972995559091,460.67164158682436,460.67164158682436,460.67164158682436,0.0,0.0,0.0,22266.17389986373
2011-03-08,23249.634104698685,15225.63015916562,24264.72872675957,23249.634104698685,23249.634104698685,-3573.204105581475,-3573.204105581475,-3573.204105581475,-3959.355655556013,-3959.355655556013,-3959.355655556013,386.151549974538,386.151549974538,386.151549974538,0.0,0.0,0.0,19676.429999117212
2011-03-09,23269.46865156455,14671.580508352736,23534.015393025446,23269.46865156455,23269.46865156455,-3959.1455631987637,-3959.1455631987637,-3959.1455631987637,-4277.103578947799,-4277.103578947799,-4277.103578947799,317.95801574903527,317.95801574903527,317.95801574903527,0.0,0.0,0.0,19310.32308836579
2011-03-10,23289.303198430418,14993.31318366506,23653.973969265393,23289.303198430418,23289.303198430418,-3873.0386708567344,-3873.0386708567344,-3873.0386708567344,-4130.420461290273,-4130.420461290273,-4130.420461290273,257.38179043353875,257.38179043353875,257.38179043353875,0.0,0.0,0.0,19416.264527573683
2011-03-11,23309.13774529629,18891.869771402253,27827.728688536754,23309.13774529629,23309.13774529629,84.10587862536052,84.10587862536052,84.10587862536052,-121.38056120521718,-121.38056120521718,-121.38056120521718,205.4864398305777,205.4864398305777,205.4864398305777,0.0,0.0,0.0,23393.24362392165
2011-03-12,23328.972292162158,26340.12513169652,35164.073319762974,23328.972292162158,23328.972292162158,7322.379985389932,7322.379985389932,7322.379985389932,7159.294410486655,7159.294410486655,7159.294410486655,163.08557490327678,163.08557490327678,163.08557490327678,0.0,0.0,0.0,30651.35227755209
2011-03-13,23348.806839028028,25815.033895452158,34394.85450674432,23348.806839028028,23348.806839028028,6883.990061641751,6883.990061641751,6883.990061641751,6753.263146073731,6753.263146073731,6753.263146073731,130.72691556802002,130.72691556802002,130.72691556802002,0.0,0.0,0.0,30232.79690066978
2011-03-14,23368.641385893894,17383.360820694845,26278.647535376476,23368.641385893894,23368.641385893894,-1315.6137594921433,-1315.6137594921433,-1315.6137594921433,-1424.297299547499,-1424.297299547499,-1424.297299547499,108.68354005535576,108.68354005535576,108.68354005535576,0.0,0.0,0.0,22053.027626401752
2011-03-15,23388.475932759764,15308.041278332692,23997.333353541046,23388.475932759764,23388.475932759764,-3862.4031874533703,-3862.4031874533703,-3862.4031874533703,-3959.355655555852,-3959.355655555852,-3959.355655555852,96.95246810248123,96.95246810248123,96.95246810248123,0.0,0.0,0.0,19526.072745306396
2011-03-16,23408.310479625634,14807.529210309183,23712.559815138433,23408.310479625634,23408.310479625634,-4181.84305945614,-4181.84305945614,-4181.84305945614,-4277.103578949066,-4277.103578949066,-4277.103578949066,95.26051949292713,95.26051949292713,95.26051949292713,0.0,0.0,0.0,19226.467420169494
