d,sales,date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,lag_7,lag_28,rolling_mean_7,rolling_mean_28,day_of_week,week,is_event
d_29,29908,2011-02-26,11105,Saturday,1,2,2011,,,,,0,0,0,31689.0,32631.0,24143.14285714286,26238.678571428572,5,8,0
d_30,28707,2011-02-27,11105,Sunday,2,2,2011,,,,,0,0,0,29283.0,31749.0,23888.714285714286,26141.428571428572,6,8,0
d_31,21240,2011-02-28,11105,Monday,3,2,2011,,,,,0,0,0,23966.0,23783.0,23806.428571428572,26032.785714285714,0,9,0
d_32,22872,2011-03-01,11105,Tuesday,4,3,2011,,,,,1,1,0,20501.0,25412.0,23417.0,25941.964285714286,1,9,0
d_33,22046,2011-03-02,11105,Wednesday,5,3,2011,,,,,1,0,1,20757.0,19146.0,23755.714285714286,25851.25,2,9,0
d_34,23475,2011-03-03,11105,Thursday,6,3,2011,,,,,1,1,1,20277.0,29211.0,23939.85714285714,25954.821428571428,3,9,0
d_35,23572,2011-03-04,11105,Friday,7,3,2011,,,,,1,0,0,22529.0,28010.0,24396.714285714286,25749.964285714286,4,9,0
d_36,31202,2011-03-05,11106,Saturday,1,3,2011,,,,,1,1,1,29908.0,37932.0,24545.714285714286,25591.464285714286,5,9,0
d_37,34876,2011-03-06,11106,Sunday,2,3,2011,,,,,1,1,1,28707.0,32736.0,24730.571428571428,25351.10714285714,6,9,0
d_38,24562,2011-03-07,11106,Monday,3,3,2011,,,,,1,1,0,21240.0,25572.0,25611.85714285714,25427.535714285714,0,10,0
d_39,22752,2011-03-08,11106,Tuesday,4,3,2011,,,,,1,0,1,22872.0,23071.0,26086.428571428572,25391.464285714286,1,10,0
d_40,22560,2011-03-09,11106,Wednesday,5,3,2011,LentStart,Religious,,,1,1,1,22046.0,23658.0,26069.285714285714,25380.071428571428,2,10,1
d_41,22626,2011-03-10,11106,Thursday,6,3,2011,,,,,1,0,0,23475.0,23756.0,26142.714285714286,25340.85714285714,3,10,0
d_42,25572,2011-03-11,11106,Friday,7,3,2011,,,,,0,1,1,23572.0,26445.0,26021.428571428572,25300.5,4,10,0
d_43,32225,2011-03-12,11107,Saturday,1,3,2011,,,,,0,1,1,31202.0,34833.0,26307.14285714286,25269.321428571428,5,10,0
d_44,31417,2011-03-13,11107,Sunday,2,3,2011,,,,,0,1,0,34876.0,36380.0,26453.285714285714,25176.178571428572,6,10,0
d_45,24935,2011-03-14,11107,Monday,3,3,2011,,,,,0,0,1,24562.0,21804.0,25959.14285714286,24998.928571428572,0,11,0
d_46,24021,2011-03-15,11107,Tuesday,4,3,2011,,,,,0,1,1,22752.0,24070.0,26012.428571428572,25110.75,1,11,0
d_47,22765,2011-03-16,11107,Wednesday,5,3,2011,LentWeek2,Religious,,,0,0,0,22560.0,21443.0,26193.714285714286,25109.0,2,11,1
d_48,21779,2011-03-17,11107,Thursday,6,3,2011,StPatricksDay,Cultural,,,0,0,0,22626.0,20318.0,26223.0,25156.214285714286,3,11,1
d_49,23855,2011-03-18,11107,Friday,7,3,2011,,,,,0,0,0,25572.0,23721.0,26102.0,25208.39285714286,4,11,0
d_50,30599,2011-03-19,11108,Saturday,1,3,2011,,,,,0,0,0,32225.0,31689.0,25856.714285714286,25213.178571428572,5,11,0
d_51,29643,2011-03-20,11108,Sunday,2,3,2011,Purim End,Religious,,,0,0,0,31417.0,29283.0,25624.428571428572,25174.25,6,11,1
d_52,23101,2011-03-21,11108,Monday,3,3,2011,,,,,0,0,0,24935.0,23966.0,25371.0,25187.10714285714,0,12,0
d_53,20492,2011-03-22,11108,Tuesday,4,3,2011,,,,,0,0,0,24021.0,20501.0,25109.0,25156.214285714286,1,12,0
d_54,19230,2011-03-23,11108,Wednesday,5,3,2011,,,,,0,0,0,22765.0,20757.0,24604.85714285714,25155.89285714286,2,12,0
d_55,18854,2011-03-24,11108,Thursday,6,3,2011,,,,,0,0,0,21779.0,20277.0,24099.85714285714,25101.35714285714,3,12,0
d_56,23350,2011-03-25,11108,Friday,7,3,2011,,,,,0,0,0,23855.0,22529.0,23682.0,25050.535714285714,4,12,0
d_57,29620,2011-03-26,11109,Saturday,1,3,2011,,,,,0,0,0,30599.0,29908.0,23609.85714285714,25079.85714285714,5,12,0
d_58,29866,2011-03-27,11109,Sunday,2,3,2011,,,,,0,0,0,29643.0,28707.0,23470.0,25069.571428571428,6,12,0
d_59,21449,2011-03-28,11109,Monday,3,3,2011,,,,,0,0,0,23101.0,21240.0,23501.85714285714,25110.964285714286,0,13,0
d_60,19581,2011-03-29,11109,Tuesday,4,3,2011,,,,,0,0,0,20492.0,22872.0,23265.85714285714,25118.428571428572,1,13,0
d_61,18928,2011-03-30,11109,Wednesday,5,3,2011,,,,,0,0,0,19230.0,22046.0,23135.714285714286,25000.89285714286,2,13,0
d_62,21742,2011-03-31,11109,Thursday,6,3,2011,,,,,0,0,0,18854.0,23475.0,23092.571428571428,24889.535714285714,3,13,0
d_63,28309,2011-04-01,11109,Friday,7,4,2011,,,,,1,1,0,23350.0,23572.0,23505.14285714286,24827.64285714286,4,13,0
d_64,33478,2011-04-02,11110,Saturday,1,4,2011,,,,,1,0,1,29620.0,31202.0,24213.571428571428,24996.821428571428,5,13,0
d_65,33058,2011-04-03,11110,Sunday,2,4,2011,,,,,1,1,1,29866.0,34876.0,24764.714285714286,25078.10714285714,6,13,0
d_66,24852,2011-04-04,11110,Monday,3,4,2011,,,,,1,0,0,21449.0,24562.0,25220.714285714286,25013.178571428572,0,14,0
d_67,23581,2011-04-05,11110,Tuesday,4,4,2011,,,,,1,1,1,19581.0,22752.0,25706.85714285714,25023.535714285714,1,14,0
d_68,22656,2011-04-06,11110,Wednesday,5,4,2011,,,,,1,1,1,18928.0,22560.0,26278.285714285714,25053.14285714286,2,14,0
d_69,22901,2011-04-07,11110,Thursday,6,4,2011,,,,,1,1,0,21742.0,22626.0,26810.85714285714,25056.571428571428,3,14,0
d_70,24754,2011-04-08,11110,Friday,7,4,2011,,,,,1,0,1,28309.0,25572.0,26976.428571428572,25066.39285714286,4,14,0
d_71,31745,2011-04-09,11111,Saturday,1,4,2011,,,,,1,1,1,33478.0,32225.0,26468.571428571428,25037.178571428572,5,14,0
