StockCode,ABC_Class,XYZ_Class,ABC_XYZ,Recommendation
85123A,A,Y,AY,Monitor Closely
22423,A,Z,AZ,High Safety Stock
M,A,Z,AZ,High Safety Stock
85099B,A,Z,AZ,High Safety Stock
84879,A,Z,AZ,High Safety Stock
POST,A,Y,AY,Monitor Closely
21843,A,Z,AZ,High Safety Stock
48138,A,Z,AZ,High Safety Stock
84347,A,Z,AZ,High Safety Stock
22086,A,Z,AZ,High Safety Stock
20685,A,Z,AZ,High Safety Stock
47566,A,Z,AZ,High Safety Stock
15056N,A,Z,AZ,High Safety Stock
85099F,A,Z,AZ,High Safety Stock
21621,A,Z,AZ,High Safety Stock
20914,A,Z,AZ,High Safety Stock
20725,A,Y,AY,Monitor Closely
15056BL,A,Z,AZ,High Safety Stock
22386,A,Z,AZ,High Safety Stock
22189,A,Z,AZ,High Safety Stock
21232,A,Z,AZ,High Safety Stock
85099C,A,Z,AZ,High Safety Stock
21623,A,Z,AZ,High Safety Stock
21137,A,Z,AZ,High Safety Stock
21754,A,Y,AY,Monitor Closely
21212,A,Y,AY,Monitor Closely
21733,A,Z,AZ,High Safety Stock
22139,A,Z,AZ,High Safety Stock
21931,A,Z,AZ,High Safety Stock
79321,A,Z,AZ,High Safety Stock
82484,A,Z,AZ,High Safety Stock
48194,A,Z,AZ,High Safety Stock
22411,A,Z,AZ,High Safety Stock
21929,A,Z,AZ,High Safety Stock
71477,A,Z,AZ,High Safety Stock
21181,A,Z,AZ,High Safety Stock
21928,A,Z,AZ,High Safety Stock
22111,A,Z,AZ,High Safety Stock
22083,A,Z,AZ,High Safety Stock
22112,A,Z,AZ,High Safety Stock
37503,A,Z,AZ,High Safety Stock
22470,A,Z,AZ,High Safety Stock
84078A,A,Z,AZ,High Safety Stock
82494L,A,Y,AY,Monitor Closely
22090,A,Z,AZ,High Safety Stock
21731,A,Z,AZ,High Safety Stock
21523,A,Z,AZ,High Safety Stock
20727,A,Z,AZ,High Safety Stock
22197,A,Z,AZ,High Safety Stock
48187,A,Z,AZ,High Safety Stock
84029E,A,Z,AZ,High Safety Stock
22910,A,Y,AY,Monitor Closely
21524,A,Z,AZ,High Safety Stock
22114,A,Z,AZ,High Safety Stock
21755,A,Y,AY,Monitor Closely
22328,A,Z,AZ,High Safety Stock
22138,A,Z,AZ,High Safety Stock
22188,A,Z,AZ,High Safety Stock
20679,A,Z,AZ,High Safety Stock
21527,A,Z,AZ,High Safety Stock
82486,A,Z,AZ,High Safety Stock
22383,A,Z,AZ,High Safety Stock
20728,A,Z,AZ,High Safety Stock
84997D,A,Z,AZ,High Safety Stock
21485,A,Z,AZ,High Safety Stock
85014B,A,Z,AZ,High Safety Stock
22326,A,Z,AZ,High Safety Stock
20726,A,Z,AZ,High Safety Stock
72741,A,Z,AZ,High Safety Stock
48185,A,Z,AZ,High Safety Stock
84946,A,Z,AZ,High Safety Stock
84997B,A,Z,AZ,High Safety Stock
21915,A,Z,AZ,High Safety Stock
84997C,A,Z,AZ,High Safety Stock
82482,A,Z,AZ,High Safety Stock
22178,A,Z,AZ,High Safety Stock
84991,A,Z,AZ,High Safety Stock
79323W,A,Z,AZ,High Safety Stock
47590B,A,Z,AZ,High Safety Stock
21166,A,Z,AZ,High Safety Stock
48111,A,Z,AZ,High Safety Stock
21622,A,Z,AZ,High Safety Stock
22457,A,Y,AY,Monitor Closely
22469,A,Z,AZ,High Safety Stock
20713,A,Z,AZ,High Safety Stock
22622,A,Z,AZ,High Safety Stock
21217,A,Z,AZ,High Safety Stock
48184,A,Z,AZ,High Safety Stock
84836,A,Z,AZ,High Safety Stock
22379,A,Z,AZ,High Safety Stock
21175,A,Z,AZ,High Safety Stock
22384,A,Z,AZ,High Safety Stock
48188,A,Z,AZ,High Safety Stock
85152,A,Z,AZ,High Safety Stock
22382,A,Y,AY,Monitor Closely
22158,A,Z,AZ,High Safety Stock
37449,A,Z,AZ,High Safety Stock
20972,A,Z,AZ,High Safety Stock
22752,A,Z,AZ,High Safety Stock
85066,A,Z,AZ,High Safety Stock
21231,A,Y,AY,Monitor Closely
21977,A,Z,AZ,High Safety Stock
